label,sentence
extremely fearful,@RosieBalls I fear for the future of mankind
extremely fearful,First day of college feeling nervous
extremely fearful,|i might have #hysteria ,i don't kno if it's just #anxiety or both,..need a diagnosis cuz somethin' is messed up,need ert bu i nvr come out|
extremely fearful,@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...
extremely fearful,Gonna get some acupuncture today for all my damn anxiety ðŸ™ƒðŸ¤•
extremely fearful,#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape
extremely fearful,@p4pictures it would be great but what if the card crashes ðŸ˜±. It's happened to me twice #nightmare
extremely fearful,@corruptmelon now im feeling the #worry
extremely fearful,That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous ðŸ˜¥ðŸ˜¥
extremely fearful,i had a hard time falling a sleep and woke up several times because i was afraid of bugs crawling on me and i ended up waking up with a bite
extremely fearful,White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.
extremely fearful,Today was horrible and it was only half a day
extremely fearful,|#ObamaLegacy - weekly #riots and #terror attacks, &gt;400k dead #Syrians, #Jews fleeing #persecution in Europe, #Christian #genocide in ME.....|
extremely fearful,|bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy|
extremely fearful,@RoseTintMyWorId fucking hell mate absolute nightmare ðŸ˜“
extremely fearful,|@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate |
extremely fearful,Life long fear of havin a shit and a spider crawls up ya bum
extremely fearful,|What a shamefull, unequal, dangerous and worrying world we live in nowadays!  #terrifying #Charlotte #terrorism #shitworldforourkids|
extremely fearful,@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 
extremely fearful,|I start work tmrw yall, i'm nervous lol|
extremely fearful,I Don't know what make #Pakistan fear more their #terrorist or their #terrorism  #TerrorStatePak
extremely fearful,|@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #anxiety #iamkratom|
extremely fearful,Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.
extremely fearful,I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul #panic
extremely fearful,Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel #intimidation
extremely fearful,Saga: When all of your devices and teles fail just in time for bake off #panic #gbbo
extremely fearful,Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for @DMTFYP ðŸš´100k ?
extremely fearful,Do you think humans have the sense for recognizing impending doom? #anxiety
extremely fearful,I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM  #SingleGirlProblems
extremely fearful,im literally shaking bc im nervous and bc its fucking cold oh how i love life
extremely fearful,I feel horrible. I have accounting today but physically and mentally am not okay ðŸ˜ª
extremely fearful,@BigBossPeltonen \nLikewise #death #cutting #despair
extremely fearful,I am about to be a coward and I feel terrible. But I can't even face this ðŸ˜­
extremely fearful,|#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit #horror|
extremely fearful,@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson #shudder
extremely fearful,@OutdoorLoverz is this a bridge if I have to drive on such I will stop breathing Yooo I can't I'm to afraid
extremely fearful,My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. ðŸ™…ðŸ½ðŸ˜³
extremely fearful,I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 
extremely fearful,I just deleted my save file trying to load it up. Now I have to start. All. Over. Again. I am going to freaking kill someone. Pray for me.
extremely fearful,@RossKemp Omg that is just horrific. Something needs to be done. ðŸ˜¢
extremely fearful,I'm getting so nervous for my first anatomy exam ðŸ˜©
extremely fearful,@camilluddington the fact that YOURE nervous makes me want to crawl in a hole
extremely fearful,mm nothing like a good old fashioned panic induced cry on your living room floor
extremely fearful,r U scared to present in front of the class? severe anxiety... whats That r u sad sometimes?? go get ur depression checked out IMEDIATELY!!!
extremely fearful,Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel 
extremely fearful,|In #Bangladesh war, #US almost bombed us had #Russia not been there. What strategy for #China on #Pakistan? Time ripe to crush #terror camps|
extremely fearful,I have another test tonight #nervous
extremely fearful,|@gdimelow @TheDailyShow @NivenJ1 @jordanklepper These interviews scare the crap out of me. I never imagined so many dumb, dumb Americans.|
extremely fearful,Can't believe how nervous I feel tonight...who feels the same #mufc
extremely fearful,@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD?  #creepy #EnoughIsEnough
extremely fearful,@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD? #nightmare #creepy #EnoughIsEnough
extremely fearful,|Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone |
extremely fearful,She was so posh it frightened me. I'm still scared.
extremely fearful,|In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news|
extremely fearful,|Woke by #nightmare @ 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read.|
extremely fearful,ï˜« ughh I just want all this to be over.. it's like a nightmare! can we all just get along?
extremely fearful,I seem to alternate between 'sleep-full' and sleepless nights. Tonight is a sleepless one. ðŸ˜• #insomnia #anxiety #notfair
extremely fearful,Jimmy Carr makes me want to cry and cry *shiver* 
extremely fearful,in my dream....They were trying to steal my kidney!!! #nightmare #blackmarket #whydidiwatchthat
extremely fearful,Jimmy Carr makes me want to cry and cry *shiver* #awful
extremely fearful,Being forced into a fake hug by someone who didnâ€™t flinch to get litigious with you in the past - #awful ðŸ˜–ðŸ‘ºðŸ™…
extremely fearful,And it pisses me off more they killed people who surrendered. Hands up and all. If hands visible you shouldn't be fearing for your life
extremely fearful,Andrew's hands start shaking and he says 'I hope I die.. like right now'
extremely fearful,I dread this drive every Wednesday ðŸ˜©
extremely fearful,|A country that gave safe house to #Osama Bin #Laden is dangerous if not contained. #Pakistan is a #terror heaven, declare so @BanKimoon_amdg|
extremely fearful,Maybe @SamHeughan can send me good luck on my job interview tomorrow. #nervous ðŸ˜³
extremely fearful,@alivitali that's what I'm afraid of!
extremely fearful,So not pumped for this interview #nervous
extremely fearful,An @amityaffliction kind of drive home from work today #nightmare #dailyfeels
extremely fearful,I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows. #fear #fashion
extremely fearful,|When you wake up, scroll through social media, and another father was taken from his child #nightmare #everyday #KeithLamontScott|
extremely fearful,hi my names anxiety and i have shaun
extremely fearful,Background. Suffered a bit at times of #stress. Always a bit #shy. About 8 years ago (aged 30) I was made redundant. That's when it started
extremely fearful,@YahooCare data stolen in 2014 and only now do you tell us .
extremely fearful,I dread math ðŸ˜´
extremely fearful,@SusannahSpot I could pop round #nightmare
extremely fearful,@excalibater I'm very shy irl and lately I feel like everyone's doing their own thing and I don't fit in anywhere and I feel lonely :(
extremely fearful,How do you ever stop being #afraid of someone that you live with
extremely fearful,@DSWT I despair at this madness! It's beyond #shocking it's cold blooded murder!  How long will #SouthAfrica stand by &amp;watch #WorldRhinoDay
extremely fearful,in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat
extremely fearful,So she goes first. She gets her book signed &amp; I can barely take their picture cuz I'm shaking ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­
extremely fearful,Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life ðŸ™„ #nightmare
extremely fearful,#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria  #race #riots #GasCrisis2016 #NoDAPL #rape
extremely fearful,Well this is flipping great! Flipping standstill on the freeway! #anxiety #stepofftheledge #youvegottobekiddingme
extremely fearful,When you arrive at the office the day before your first ever festival and the Internet is down #panic
extremely fearful,@WunderlistHelp are you guys still down? When can we go up? #panic
extremely fearful,The focal points of war lie in #terrorism and the #UN needs to address #violentextremism
extremely fearful,Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;
extremely fearful,Put my passport in a safe back after getting back from Australia ðŸŒ. Only problem is now I can't remember where the safe is!! #panic ðŸ›‚
extremely fearful,|@nigglydz lydiaaaa, we were the only ones that were supposed to know that you make me nervous ðŸ˜¶|
extremely fearful,@GuardianAus @guardian because there is a realistic probability that a clown might be their next president. #clown #uspol #nightmare
extremely fearful,What the fuck is he even doing ? He should be off that's fucking horrific !
extremely fearful,@AldiToHarrods I'm still too nervous to try it. I need to man up and give it ago.
extremely fearful,@rsdeepsea @BreitbartNews If 3 people are in a country of 300 million - you are going to RUIN the whole country over 3 people? #fear
extremely fearful,@prw190 #zionist = #terror \nImagine this kid was a #Palestinian or #Muslim\nZionists stealing #innocence of childhood from #Jewish #children
extremely fearful,I don't know how people can binge watch horror films ...ALONE!ðŸ˜“ðŸ˜°
extremely fearful,Haven't gotten one hour of sleep... Today is going to be a fun day ðŸ˜ #restless
extremely fearful,This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. 
extremely fearful,#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism
extremely fearful,|my boyfriend once forcibly stopped all of my anxiety coping methods at once (holding me, forcing my hands down that kinda stuff) and I --|
extremely fearful,I thought the nausea and headaches had passed but lol I feel awful today
extremely fearful,Job interview in the afternoon  #ek
extremely fearful,Tomorrow is the day I cut and dye my hair! ðŸ˜³ #nervous #excited
extremely fearful,A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. #panic
extremely fearful,|# ISIS REFERENCES SCRUBBED?  Federal complaint against suspect in NYC, NJ bombings appears to omit terror names in bloody journ...  #news|
extremely fearful,@Budget  car rental you have made realize why I always use @nationalcares!!!!  What a #nightmare!!  #disgusted
extremely fearful,searching for what pro and academic writers have to say about #writing #anxiety and #writersblock
extremely fearful,What an actual nightmare
extremely fearful,Can we go back 2 weeks and start again ?? This is seriously dreadful
extremely fearful,I absolutely love having an anxiety attack halfway through a family meal
extremely fearful,Pakistan is the biggest victim of terrorism - Nawaz Sharif \nReally? It should have been biggest creator of terrorism. #UNGA
extremely fearful,|After #terror our leaders say, 'Don't jump to conclusions,' but [in matters of #racial unrest], they are silent. Why is that? @greggutfeld|
extremely fearful,im tired of people telling me the worry about me when in fact they probably never gave a fuck about me
extremely fearful,#Aleppo city is burning. The head of #terrorism #Assad regime &amp; #Russia are bombarding the city right now with #whitephosphrus #bombs !
extremely fearful,|Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone #nervous|
extremely fearful,im like 'this is better' in the moment cuz i panic and then later its so obviously not better. at every opportunity i choose to make it seem
extremely fearful,|Just heard what happen at grandad hometown last night such a terrible news ðŸ’”, hope everyone okay ðŸ˜¢|
extremely fearful,|@ExaltedCaptain reality in the form of endless tragedies. She didn't know how to react at first, being too frightened to repeat another--|
extremely fearful,It's 5:55am. I'm hungry but there is no food. #panic
extremely fearful,I have a job interview with @BarclaysUK in Loughborough next month #nervous!!!
extremely fearful,|@AllyTheRipper @ProoF @SpaitoGaming every horror movie that frightened me as a child i.e. 'IT', Halloween movies all of them, nightmare on..|
extremely fearful,|@JackAndAHat butter up the walls, nightmare|
extremely fearful,both afraid of all the same things
extremely fearful,onus is on Pakistan' : MEAIndia after #Uri #terror attack
extremely fearful,Don't wanna really go out but I can't say no. Deffo have a fear of missing out
extremely fearful,Biggest #THREAT 2 #GLOBAL #STABILITY? #climatechange #food #water #security #terrorism #russia #war #trump #clinton #geopolitics #korea $vwo
extremely fearful,@p4pictures it would be great but what if the card crashes ðŸ˜±. It's happened to me twice 
extremely fearful,My doctor is giving me flower extract to relieve anxiety and reduce panic attacks :')
extremely fearful,I get soooo nervous when an actually attractive guy tries to talk to me in person. Like 9/10 I turn him down just from habit ðŸ˜­
extremely fearful,@megynkelly We should be ignoring these rioters like the current administration ignores #terrorism. This will obviously make it stop.
extremely fearful,|I'm okay, dont worry. I wish i'd been a better kid. I'm trying to slow down. I'm sorry for letting you down.|
extremely fearful,@TimesNow indian army crossed loc into pok to bust terror camp on 20th Sept night?
extremely fearful,@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.
extremely fearful,|@BBCNews ðŸ˜ scared of their own horror story they wrote, afraid of the #terror they spread, will #europe start WW3 in 2017 anniversary of WW1|
extremely fearful,my husband lost Â£800 when he booked an apartment through @Airbnb that didn't exist... @AirbnbHelp didn't care #nightmare #airbnbnightmare
extremely fearful,|@Tik115 Issue with that is, will the effort involved get back the amount I put into it? That's what I'm fearful of.|
extremely fearful,|Avoiding #fears only makes them scarier. Whatever your #fear, if you face it, it should start to fade. #courage|
extremely fearful,My anxiety is playing around HELP!!!!!
extremely fearful,Got to be up in 4 hours to go back to work #cantsleep #excited #nervous
extremely fearful,my husband lost Â£800 when he booked an apartment through @Airbnb that didn't exist... @AirbnbHelp didn't care  #airbnbnightmare
extremely fearful,|Tomorrow is going to be a challenge, I have to talk at a freshers fair to STRANGERS ðŸ˜and pick up my new flat keys #anxiety|
extremely fearful,I'm afraid she's the goat you libeling people? #afraid #goat #libeling
extremely fearful,|@twlldun @bbcquestiontime @JacobReesMogg @leicesterliz @normanlamb @CarolineLucas @JuliaHB1 Oh god, not Brewer again. The horror, the horror|
extremely fearful,&gt;.&lt; too much clutter in my brain with recent little changes that I haven't yet processed... #dying #panic #IveBeenBusierWhyAmIOverwhelmed :(
extremely fearful,|The more videos @PanicAtTheDisco  post, the more i am convinced i might should not have done that #fear #Brendonati|
extremely fearful,Someone wake me when @Therealkiss make 2016 remix of 'Why'â—ï¸b/w #TerrenceCrutcher #Election2016 #colinkapernick #terrorism #riots this 2much
extremely fearful,@dc_mma @ChampionsFight think shes afraid to fight Holly. One can only imagine what goes through her head when she thinks of Cyborg 
extremely fearful,I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 #nightmare
extremely fearful,@coopah Worst than going to the morgue to do a positive ID. #horrible Reuters
extremely fearful,Scott Dann injured aka my worst nightmare
extremely fearful,|bad news fam, life is still hard and awful #depression  #atleastIhaveBuffy|
extremely fearful,induction day tomorrow for pizza express #nervous
extremely fearful,Dates in the glove box' is pure panic excuse #GBBO
extremely fearful,|Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas #nightmare #stressed|
extremely fearful,I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul 
extremely fearful,how maybe it was with you and your parents..that I would understand you and your fear of indifference from your own mom and dad..
extremely fearful,|My interview went well today, I can't wait to find out what happens. #nervous #excited #interview #jobinterview|
extremely fearful,|I'm used to bears, I'm used to coyotes, I love the idea of wolves. But this is hard. I don't want to be fearful of the meadow or the pines.|
extremely fearful,@missmeliss465 @WellWeds @siggyflicker @whispernghope @mcrichard awe I feel so bad being naive ou is the worst
extremely fearful,Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n #Loneliness #aloneinthecity 
extremely fearful,I can never find the exact #emoji that I'm after at the exact moment that I need it #panic
extremely fearful,@katlute which one....the one where u threaten violence? Or the phedophiliac u support?  Or the constitution violations he proposes?
extremely fearful,still shaking though ðŸ™ƒ
extremely fearful,Watching It Follows.  This is a super freaky movie.  #horror #scary
extremely fearful,Watching Paranormal Activity: The Ghost Dimension. I'm not sure how I feel about it yet. #horror
extremely fearful,|Even death is unreliable. Instead of zero it may be some ghastly hallucination, such as the square root of minus one.  Samuel Beckett|
extremely fearful,@Burnt_Out_Darth @theaterofscifi thanks. #nightmare
extremely fearful,#TerrorStatePak we r confirm that #navazsharif is post graduate distinction student of university of #terrorism. He can't spare himself.
extremely fearful,|@ANI_news #Pakistan should stop cross border #terrorism if they really need solution for #KashmirIssue. @narendramodi sir, #India should act|
extremely fearful,3:45am and off to the hospital! Elouise's waters have gone! #panic #Labour #LittleSister #superexcited
extremely fearful,|This is the first time I've written anything on this series in over two years, so I'm checking back in for one last nightmare.|
extremely fearful,I hate having ideas but being too afraid to share them ðŸ˜”
extremely fearful,i'd let jiho step on my throat but he'd probs be afraid he'd hurt me
extremely fearful,|@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom|
extremely fearful,Nawaz Sharif's UN should start #à¤¸à¤¤à¥à¤¯_à¤¬à¥‹à¤§_à¤¯à¤¾à¤¤à¥à¤°à¤¾ as after all his #UNGA speech has awaken the world about their role in sponsoring #terrorism
extremely fearful,Idk if it's hella hot in here or I'm nervous
fairly fearful,@JaySekulow what can we do 2 get @realDonaldTrump 2 reveal his taxes? That is the immediate danger. But u will not answer me. #afraid
fairly fearful,I can't imagine keeping malice with my brothers!! I shudder when I see siblings estranged and all
fairly fearful,Today's alarm shows how unprepared professors and students are when it comes to emergency protocols. We don't know where to go @CalStateLA
fairly fearful,@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !
fairly fearful,And here we go again ðŸ˜“ #restless
fairly fearful,|There's always that one song which makes you turn of the radio, as you'd rather sit in silence ðŸ˜¡ #awful|
fairly fearful,Do you think humans have the sense for recognizing impending doom? 
fairly fearful,@GeneralBakshi Only Indian seems to be afraid of War is @sardesairajdeep n like India is for WAR! WAR! WAR! we cry war. #PakistanMustPay
fairly fearful,@officialShaky 'Operation Echoes' is gathering momentum ... #tense  #feelsick #excited
fairly fearful,Retweeted Dr. Rand Paul (@RandPaul):\n\nStop fueling a Middle East arms race and worsening an already horrific refugee crisis in Yemen.
fairly fearful,The more I watch this documentary on @Channel4 the more I think @Airbnb is more a #nightmare than dream #dreamornightmare
fairly fearful,World is facing #terrorism. Where #Terrorist's school exist? Who are terrorist's teacher &amp; father. Which is terrorist's motherland?
fairly fearful,|@CBSThisMorning @newsgirl123456 again, profiling DOESN'T discourage (September 20, 2016; 18:41 EDT) #terror #TRUMP #FAIL|
fairly fearful,We ashamed of being an ally to you. Pakistan sacrificed almost 50000 civilians by siding you in war on #terror @JudgeTedPoe
fairly fearful,#terror test ................
fairly fearful,@MrMalky @kwr66 How awful! Switched off!
fairly fearful,bout to read this article 'Moving the Conversation Forward: Homosexuality &amp; Christianity' from someone in the foursquare church #nervous
fairly fearful,The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin #fear #neurological #USCitizens #Insect #mammal
fairly fearful,Just had a massive argument with my alarm today... I didn't want to get up. I don't know how we're going to fix this by tomorrow morning ðŸ˜•
fairly fearful,@Delta stuck on runway after being diverted to Fargo. Continuously told just 10 more mins for the past 4 hours. No food/water offered #awful
fairly fearful,|@jk_rowling never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump #nightmare|
fairly fearful,#beyond naming &amp; shaming ; lies a vast space b/w #sanctions &amp; #terror state...v *wait til Others #impose it...&amp; do not hv COURAGE #ourselves
fairly fearful,|@MEAIndia: Virtually every statement by other countries at #UN has referred to #terror as main threat to peace, #Pak still in denial.|
fairly fearful,wow if i need to start over on SIF im prob gonna just die
fairly fearful,|When your body says FUCK YOU BITCH, You ain't sleeping\n #sleep #cantsleep #drained |
fairly fearful,I want to slide into the dms but im too fucking shy #shy
fairly fearful,@BartholomewD It's -terrible-! We're going to the local fish/chip place in Kirribilli #terrible
fairly fearful,At #UNGA Pakistan clearly shows the face of cowardliness and blatant lies! Its time for #India to act upon terror.
fairly fearful,|@ChickOfBeauty No!  By Y'all I mean rioting, fire starting, business burning, looting ASSHOLES!  That create  #BlackLivesmatter #terrorism|
fairly fearful,#India is sponsoring terrorism in #Balochistan. #KulbhushanYadav an Indian spy agent was arrested in Balochistan by Pakistani forces.
fairly fearful,|Tired of people pretending Islam isn't one of the most misogynistic religions, it's no coincidence Muslim countries are terrible for women.|
fairly fearful,Some questions you get on Twitter make you want to despair. We've been so battered. We complain but aren't convinced things could be better.
fairly fearful,@dfkm1970 @tomddumba the struggle is real. Whoa! I worry for the younger generation ðŸ’”
fairly fearful,@TeaPartyOrg Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's chances
fairly fearful,Look at this #massiah of #youngleader\n#Pakistan #massiah of #terrorism
fairly fearful,@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country).  #wakeupcall
fairly fearful,@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall
fairly fearful,|@politico If they say the words radical Islamic terrorist, will that somehow make the terror groups drop their weapons?|
fairly fearful,this Mac update has me some kind of apprehensive.
fairly fearful,a panic attack AND CALL YOURSELF A REAL FAN makes me so mad like i dont even have the words to explain. this is why some people give no +
fairly fearful,Your boy' is having a nightmare @VivaLaSergio
fairly fearful,|It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. #discouraged|
fairly fearful,@SadiqKhan #terrorism shouldn't be a way of life in the united etates and wasn't until #islam brought it here! #IslamExposed #islambacon
fairly fearful,Now #India is #afraid of #bad #terrorism.
fairly fearful,@RJAH_NHS @ChrisHudson76 @mbrandreth #course day # potential Leadership #excited #nervous # proud
fairly fearful,ugh!! this is the worst!! i didn't read at all this whole first month of school and i have a unit test on friday!!! awe man!!
fairly fearful,Man city's kit is dreadful!
fairly fearful,|jimmy_dore: RaisingTheBoss we've already lost our country and our government to oligarchs, but their fear tactics still work it appears.|
fairly fearful,|@ChickOfBeauty No!  By Y'all I mean rioting, fire starting, business burning, looting ASSHOLES!  That create #BlackLivesmatter |
fairly fearful,Set n alarm '@Innocentia_T: I wanna nap but I'm scared I'll wake up tomorrow .'
fairly fearful,|@Megannn_walsh12 @itsshelleeey never said that,Just not fair how Yous think it's completely okay to bully someone|
fairly fearful,Just feel awkward that I'm being timid to everyone.
fairly fearful,|Rooney ! Oh dear, oh dear ! Fucking dreadful ðŸ™ˆâš½ï¸âš½ï¸|
fairly fearful,@rsdeepsea @BreitbartNews If 3 people are in a country of 300 million - you are going to RUIN the whole country over 3 people? 
fairly fearful,@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...
fairly fearful,@JaySekulow what can we do 2 get @realDonaldTrump 2 reveal his taxes? That is the immediate danger. But u will not answer me. 
fairly fearful,Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch #shocking
fairly fearful,|#ntfc mourinho is worried,  bringing Ibra  and Rushford on.  #panic|
fairly fearful,|@latenightdaryun pfft, as if anyone undergoing the constant ongoing horror of sapient consciousness has any trust in themself anyway|
fairly fearful,Librarians scare me
fairly fearful,@SherriEShepherd because #whitepeople are #afraid of large #blackmen?
fairly fearful,|@iSmashFizzle that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times #anxiety|
fairly fearful,@mikebairdMP @AndrewConstance @nswtaxi how many sex cases u need before u guys learn UBER is shocking to the consumer unregulated
fairly fearful,@ashish_geol @getPakistanTV @HamidMirGEO .. Have you give thought to Khalistaan? \nNo concern of you Baluchistan !! Kashmir is an Issue.
fairly fearful,Democracy doesn't work\n#mob #mentality #mass #hysteria #fear #mongering #oligarchy
fairly fearful,I want to slide into the dms but im too fucking shy 
fairly fearful,|Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is #shocking|
fairly fearful,A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. 
fairly fearful,|@Miami4Trump Yeah, but bad part is the #terrorism #terror Muslims won't be the ones leaving #ObamaLegacy #nationalsecurity #disaster #Obama|
fairly fearful,We're all in D. T. (Discipleship training or detox) for something. #messy  #cutoff #choosefreedom #CryOut16
fairly fearful,@Sami_3499 Oh noooo!  #nomorehammocks #nightmare ;)
fairly fearful,So not pumped for this interview 
fairly fearful,Rojo is shocking.......absolutely shocking !!!
fairly fearful,#NawazSharif confesses that #Pakistan  supports #terror at #unga\n#BurhanWani
fairly fearful,|@PanicAtTheDisco hey, y'all announced it like immediately after I asked. Nice. Thanks y'all #panic|
fairly fearful,|When your body says FUCK YOU BITCH, You ain't sleeping\n#sleep #cantsleep #drained #restless|
