label,sentence
extremely sad,When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology #depression #TMS #ECT
extremely sad,Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor
extremely sad,@Christy_RTR @doge_e_fresh I'm despondent
extremely sad,2 applications for my dbs and still waiting. Been over a year now. Going to loose my job ðŸ‘ðŸ¿ @GOVUK  #thanks #unhappy #crb
extremely sad,I miss when social media was a place to get laughs off and jump in DMs lol..... shit is depressing now ðŸ˜ž
extremely sad,@Hayles_101 The three R's depress me.
extremely sad,Too many gloomy days
extremely sad,The weather sure matches the mood in this state today.. #gloomy
extremely sad,and again dirty and  self loathing attitude  mope talking
extremely sad,Wearing all black tomorrow as I continue to mourn the lives of the most recent victims of police brutality. #blackout #WU
extremely sad,Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops ðŸ‘ŽðŸ¾ðŸ‘ŽðŸ½ðŸ‘ŽðŸ»ðŸ‚ðŸ
extremely sad,My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe
extremely sad,|My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP|
extremely sad,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired 
extremely sad,|@pureleine though lately with how bad my depression has been i feel like my body is like just, taking what little it can get|
extremely sad,We have left #Maine. #sadness
extremely sad,|so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them.|
extremely sad,@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later #sad #protest #PoliceShootings #suggestions
extremely sad,It's interesting the photo of Mono Lisa is crying as well as the whole scene is very depressing #ELE6200
extremely sad,The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness
extremely sad,Never ever been this unhappy before in my life lmao
extremely sad,@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. #unhappy
extremely sad,Condolences to the  JC and the Georges family.. #sad
extremely sad,No one wants to win the wild card because you have to play the Cubs on the road.  #sadness
extremely sad,Groom gloom.
extremely sad,I don't think I can go to work tomorrow since val has left #GBBO I need a day to mourn
extremely sad,Good morning lovely people. Not gonna lie I've woken up feeling pretty glum.
extremely sad,@6itmap I can't help but feel melancholic!
extremely sad,@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.
extremely sad,If anybody needs me I'll be drowning my blues in a sea of whiskey ðŸ»
extremely sad,@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad
extremely sad,in health we did a think about depression and now i feel like i have it
extremely sad,@Gaychel22 @Kellee_II @seattlepi even hard facts don't seem to be sinking in... I despair ðŸ˜©
extremely sad,So depressing that it's darker so much earlier now
extremely sad,@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if canâ€™t just Re-tweet
extremely sad,Currently unfollowing anything relating to disneyworld or Florida! #holidayblues #depressing #wantogoback ðŸ˜­ðŸ’”
extremely sad,It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh ðŸ˜’
extremely sad,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired #lost
extremely sad,|So Mary Berry, Mel and Sue have gone with their principles, and @PaulHollywood  has gone with the fame and fortune. #GBBO  #depressing|
extremely sad,@crimsonwulfe it's super sad!! Especially when you are talking to a real person and not a bot! Makes it feel real :(
extremely sad,@ily_geuly call me now I'm laying in my bed moping like I intend to do for the next 2 months.
extremely sad,Baaarissshhhhh + sad song =  prefect night â€” feeling alone
extremely sad,im so gloomy today
extremely sad,Honestly I've come to a place where I keep getting discouraged but just gotta tell myself to keep pushing through it.
extremely sad,. @KotakBankLtd @udaykotak official got in touch. Issue not addressed. #unhappy #patheticservices
extremely sad,Back in Cardiff after an amazing 10 days away ðŸ˜­ #depressing
extremely sad,so lost i'm faded
extremely sad,Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n #quotes #worstenemy  #thinktoomuch
extremely sad,@British_Airways just came of BA6426 at @ortambo_int at least 6 passengers with broken bags. This was a new suitcase. #unhappy customer
extremely sad,Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness
extremely sad,|tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...|
extremely sad,@TheZantarin Then maybe we should keep our White mouths shut and let the people being targeted speak and mourn.
extremely sad,@rockcock64 cum and despair
extremely sad,Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad
extremely sad,i is sad
extremely sad,|Wanna pop some pills, sedate myself, and wake up tomorrow.|
extremely sad,Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad
extremely sad,|It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. #discouraged|
extremely sad,Don't wanna go to work but I want the money #sad
extremely sad,Wow the #Denver housing market is #depressing no places to buy in my range ðŸ˜¢ #FML
extremely sad,one ep of despair arc made me happy but and then i'm going back to future arc and i'm upset again.
extremely sad,I have not nap for 3 days in a row I'm very unhappy rn
extremely sad,@megalvz literally was gloomy for an hour
extremely sad,|@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn|
extremely sad,|Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL|
extremely sad,@TootingCommon stop!!! Don't make me laugh when I'm being sad.
extremely sad,Condolences to the  JC and the Georges family.. 
extremely sad,|@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy|
extremely sad,Literally being here makes me depress tbh
extremely sad,@wabermes The @RavalliRepublic had a good one but then the reporter quit. #sad
extremely sad,|This room is rather dreary, but we endure what we must.|
extremely sad,where broken hearted lovers do cry away their gloom
extremely sad,Another grim &amp; compelling news report by @Nawalf on the blockade of aid to the starving in #Yemen #BBC #dosomethingpoliticans
extremely sad,@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness
extremely sad,@Uber_RSA when you click over and over again for a cupcake but there are no vehicles available... #sadness
extremely sad,Nasty nasty chilly rain has put a damper on my afternoon cigar.  This is NOT a good thing. @cspanwj And FOUR #CongressCritters tomorrow?
extremely sad,I got diagnosed with severe-extreme depression and I didn't know there was a difference between those two lol
extremely sad,#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me
extremely sad,Smokeys dad is sad :/
extremely sad,|Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control.|
extremely sad,@ryyyshh story of my life. #lost
extremely sad,When will the weeks full of Mondays end?? #disheartened
extremely sad,@HannahFJames I'm distraught! ðŸ˜­ Candice and her pout can piss off
extremely sad,@HutchinsonDave I don't know whether to despair or agitate for a cull.
extremely sad,Can I just sulk in peace ðŸ˜‚
extremely sad,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! ' #sad #ourworld
extremely sad,MY CAR IS DENTED FROM THE HAIL sad
extremely sad,From My head to think it was better but obviously it's not #relapse #sadness #sickness #madness #misunderstanding
extremely sad,@WilsonsWorld I was in high school and remember helping neighbors clean up back home in Greenville.  Pretty sobering stuff.  #sadness
extremely sad,I have sleep cooties.\nI close my eyes and dream that I'm awake #weary #sleepissues #narcolepsy
extremely sad,wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced
extremely sad,|I forgot my hair straightner home, I'm feeling lost without it... #lost #lostWithoutMyHairStraightener|
extremely sad,And I won't even get started with Hillary and her fancy fundraisers! #depressing
extremely sad,The underground at Waterloo is not a nice place to be at 8.30am on a Thursday #somanypeople #grim
extremely sad,When will the weeks full of Mondays end?? 
extremely sad,@Samkingftw ew omg that is so grim
extremely sad,@thatsabingo grim really
extremely sad,With loyal heart is concerned. #somber
extremely sad,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging. #unhappy #scam
extremely sad,@CNN yes. Too many cops. And too many ppl who should have lost their lives r still alive.
extremely sad,|If you find me lost, will you stay as a passerby or will you get lost with me? #musings #melancholy|
extremely sad,I'm getting use to not having a phone it's sad ..
extremely sad,|I'm slugging vitamin D pills by the handful, like they were m&amp;ms. When will this eternal winter end?! #Melbourne #grim #overit|
extremely sad,Sometimes the support network is causing the damage. \n\n #support #Damaged #alone #tired  #hurt #nojustice  #surivivor #NoMore
fairly sad,@JUSTICESLUT420 sadly this sort of poster died by the 90s afaik
fairly sad,@lucy_hyner @Soulboy2266 sadly not !! One less hour drinking time ðŸ˜¢ðŸ»
fairly sad,I was in the dark room for 58 minutes and failed every time I tried developing a photo I'm so frustrated with myself :')
fairly sad,Mixed emotions. #sadness #anxietymaybe #missingfriends #growingupsucks #lostfriends #wheresthetruefriends #complications
fairly sad,|@Jay_2752 thank you, I shall mourn her|
fairly sad,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college
fairly sad,|@Gervaisoholic But this is no easy ride for a child cries: \n'Oh, find me...find me, nothing more, \nWe are on a sullen misty moor...'|
fairly sad,|Had to give my 11yo AfAm son this advice today: 'be polite, no sudden movements, keep hands where they can see them'. #sadness|
fairly sad,Man Southampton will wipe the floor with  west ham on Sunday. So disheartened
fairly sad,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless
fairly sad,Hate knowing I have to get up at half 5 for gym in the morning it's so depressing
fairly sad,@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind #unhappy
fairly sad,Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC
fairly sad,Can we go back 2 weeks and start again ?? This is seriously dreadful
fairly sad,I'm honestly upset that they rewarded Nicole 500k. #depressing #paulwasrobbed #rewardhardwork #bitterjury #bb18
fairly sad,I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse
fairly sad,|@midnight #EndTrumpweek please, it's #depressing me.|
fairly sad,@MHChat I think sadness is felt very strongly physically and mentally.  It feels like it takes over and it's hard to focus at work #MHChat
fairly sad,@gagasklaine it's old sadly
fairly sad,@TDYLN sadly not :(
fairly sad,|#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, #sad|
fairly sad,@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing
fairly sad,It's way too hard not to get discouraged.
fairly sad,as a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging
fairly sad,I've returned from the dead with a desire to clean the apartment and eat something that isn't garbage. #managing #depression
fairly sad,@WestHamUtd poor service tonight to find season ticket holders in the seats we purchased online. Forced to move further away #unhappy
fairly sad,Even a pencilâœ never #stayed  with me until it's #end âš« ðŸ˜ž
fairly sad,so gutted i dropped one of my earrings down the sink at school
fairly sad,Having holiday blues! #WantToGoBackToMinehead.
fairly sad,I'd rather die alone then end up with somebody who can't be sober
fairly sad,I don't think it's fully sunk in that Val is gone yet
fairly sad,Hate being sober so I popped two
fairly sad,|It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? #despair|
fairly sad,|@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there. #sad #ignorant|
fairly sad,|@X_KIMTAEHYUNG_X \nâ€” momentarily before it disappeared, only solemnity and anxiety lacing his features. \n\n'I ran out to get you before â€”|
fairly sad,All the 'juniors' are now wearing purple at ollafest while I'm here fighting with my alarm about when I need to wake up for German #sadness
fairly sad,The fact I haven't had to wear a bra for a week and knowing I'll have to start wearing one again after tomorrow is depressing ðŸ™„ðŸ™„
fairly sad,Liam is too distant makes me mourn ðŸ˜ª
fairly sad,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable 
fairly sad,This weather got me fucked up. Like you either be sunny and hot or gloomy and cold. No in between.
fairly sad,@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! #sad
fairly sad,Life is too short so dont shoot it in with worries sadness and grief.
fairly sad,Brb going to sulk in bed until Friday
fairly sad,|@LVLMLeah Nooooooooooooooooooooo. We have stupid, dismal, lame winters where we maybe get some dangerous ice once.|
fairly sad,#RIPKara i could have seen her at a local mall or any school football games. im disheartened
fairly sad,@RossKemp great programme tonight #sad #upsetting #extremeworld
fairly sad,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru #sad #tumblr
fairly sad,|But when my mom told me yesterday that it was looking grim and I started driving out there, I was told to turn around b/c she was too sick|
fairly sad,Isn't the whole 'it's been hijacked' argument the same argument used to ban or discourage the display of the St George's Cross? Shame @LBC
fairly sad,I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged
fairly sad,@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process #sadness
fairly sad,|If Payet goes either in Jan or @ the seasons end, can't say I blame him. The boy must b so disheartened by what he's seeing at the mo.|
fairly sad,@laureeenwillam can't cope wi her sour face and tiny pout ðŸ˜¡ðŸ˜¡
fairly sad,|There's many things I don't care about, and many things I do that I don't speak on because it's such a heaviness even when released...|
fairly sad,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging.  #scam
fairly sad,|@happyandbashful Flirt, simper, pout, repeat. Yuck.|
fairly sad,@el_tityboi bc it's a gloomy day Tony
fairly sad,@rupindxr my heart actually sunk looooool I was so confused
fairly sad,@jack_haug_lifty @eable It's Ms btw. we were lied to by Remain. dry your remainer tears; Just accept you #lost
fairly sad,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.
fairly sad,I wonder what would happen if I were a father. #weary
fairly sad,@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall
fairly sad,@MxJackMonroe I couldn't get on with it either. Bits started drooping that shouldn't droop. GP said mooncup alone to blame.
fairly sad,@TaylaStJames it happens and Vegas isn't the only origin thats prevelant #sadly
fairly sad,I'll just have to #eat my way to #sobriety. This'll be a hell of a journey back to #sober
fairly sad,When you have 15 doe run the opposite side of you ðŸ™ 
fairly sad,|@Theshadeshit91 \nOh, I'm sorry about it, do not be sad yourself there is nothing important in the world to grieve about it|
fairly sad,|Because of 'failure of delivery on time', a customer has to pay 16K rupees more! - Not good @tiagotatamotors @TataMotors #unhappy|
fairly sad,@everton_de_leon @sterushton Genuinely grim stuff. Over a century of history sold off by some porn baron twats for a minty new stadium. Urgh
fairly sad,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! '  #ourworld
fairly sad,|@CCTakato at least in crystal every part of it is portrayed as being WRONG, the dark atmosphere, the fact that mamoru is brainwashed|
fairly sad,|Way too cool to die young, way too young to die sober.. #tunechi|
fairly sad,@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy
fairly sad,I have no clue where my charger is... #lost
fairly sad,@JohnRMoffitt This is the most grim piece of laughter I was stricken with all day.
fairly sad,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness
fairly sad,|Having a nail half hanging off is absolutely fucking grim, even with my acrylic holding it on ðŸ˜·ðŸ˜·|
fairly sad,Lost: Geelong football team. \nLast seen entering through the banner not sure where they've been since... #unhappy #playwithsomeheart
fairly sad,@deshbhakthoon always unhappy and easily offended.
fairly sad,What a sad day...1st day of Fall...I don't dislike Fall...I just LOVE Summer #FirstDayofFall #goodbyesummer #sadness #bathingsuitsforever
fairly sad,@tgshepherdvan I'm not there yet. Hasn't sunk in yet. Rest up.
fairly sad,Awareness of time is awareness of time lost. #awareness #time #lost
fairly sad,@ImpugnValkyrie *I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can -
fairly sad,Gonna be a loooooong year as a Browns fan. Longer than normal and that's #sad
fairly sad,@TalesofanAlfa @David_Milloy \nI like your thinking...but sadly no - that's the shed ðŸ˜¢
fairly sad,|When the sadness leaves you broken in your bed, I will hold you in the depths of your despair, and it's all in the name of love ðŸŽ¶|
fairly sad,Theyve substituted the hood for a badge and gun.' Public opinion is indictment of Charlotte police. #dark #sadtimes #america #race
fairly sad,@MCFCDenver doing the exact same minus the beer sadly
fairly sad,i miss the guy who always make me sulk
fairly sad,Let us not burden our remembrances with a heaviness that's gone.\n- William Shakespeare (1564-1616)\n#forge ahead.
fairly sad,Cause fail or pass I refuse to be sober
fairly sad,@eehbahmum WHY?! Did they want to make you plummet in to the depths of despair??
fairly sad,@NewYorker @donlemon Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain
fairly sad,So unbelievably discouraged with music as of late. Incredibly behind on Completing my album. Not digging this at all.
fairly sad,Hennessey - dreadful. Mutch - is he even on the pitch? Fryers - out of his depth unfortunately. #CPFC
fairly sad,if you're unhappy with someone just fucking tell them you're unhappy and leave. Don't go fuckin around with other people on the side
fairly sad,|conflicting reports on mama #RitaMarley health,mannn and i woke up today feeling like mi ole self(rejoice!!)now dis #sadness|
fairly sad,How can you blame the manager watching these players play? It's abysmal. Our team are dreadful. If Jose can't save us. No-one can.  #mufc
fairly sad,The Sorrow is grim reminder of how bad I can be at video games and how I could get a bit too trigger happy at times. RIP #MGS3
fairly sad,|Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing . #lost #needhelp|
fairly sad,@V_of_Europe @ckolacia MSM relentlessly saying DT can't win to: depress GOP turnout &amp; provide cover 4 stolen election!
fairly sad,The voice is all about Miley and Alicia this year. No longer about the contestants. #sad @thevoice
fairly sad,@chocorobos I have this one so I'm not so sad.. but wtf
fairly sad,Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful
fairly sad,|I get discouraged because I try for 5 fucking years a contact with Lady Gaga but are thousands of tweets, how she would see my tweet? :(|
fairly sad,|@big_SL8 Show some respect, that's all...  If u havent go to war u cant say anything.. U havent lost friends and mates on war, so Ahut it!!|
fairly sad,|Had to give up on The Blue Guitar, couldn't stand main character. Sort of skim-read to the end which got grim and unsettling . . . 1/2|
fairly sad,First a coat. Now a pair of sunglasses. Next it'll be a limb. #lost
fairly sad,Some of these people at this protest are just there for the adrenaline rush. #depressing
fairly sad,whenever i pout i just want Adrian to appear and tell me to stop pouting or else
fairly sad,And there is despair underneath each and every action \nEach and every attempt to pierce the armour of numbness ' -Mgla
fairly sad,|Please bear with me, I'm not Twitter savvyðŸ˜ in real life I'm a Facebook person. Help me gain followers ðŸ¤“#blog #selfhelp #depression|
fairly sad,she's always so insensitive whenever i grieve idgi
fairly sad,@stevesingiser @POLITICO_Steve Put a damper on my mood.
fairly sad,We lost
fairly sad,@FantasyGuruSite I knew you were going to do that. I would definitely buy if I didn't live in Texas where you can't play DFS. ... so depress
fairly sad,Romero is fucking dreadful like seriously my 11 month old is better than him.
fairly sad,|One step forward, two steps backward, the link to RogerFedererShop doesnÂ´t work.ðŸ˜° I am losing hope about Roger Federer new Website #sadness|
fairly sad,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru  #tumblr
fairly sad,|From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. #sad|
fairly sad,@DoubleEph sadly his best days are behind him
fairly sad,|@groovydadad @MHChat ðŸ™‚ty I often conflate the two depression + sadness, but they are very different. This q reminded me of that #mhchat|
fairly sad,Don't let the behavior of others destroy ur inner peace.' -Dalai Lama @OWNTV #healing #depression #anxiety #intuition #meditation #book
fairly sad,@AerLingus #business class #Los Angeles to Dublin #destroyed luggage #60 day customer response time #unhappy customer
fairly sad,@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;)
fairly sad,|stg I been in pine bluff all morning and to piss me off even more, my damn shoes came in as a size 4!!!!!! I KNOW I SAID 6ðŸ™„ðŸ™„ðŸ™„ðŸ™„ FML|
fairly sad,@Ashleyavitia_ don't leave me 
fairly sad,|@PaulJonMilne too grim, too insanely, determined to hurt you from|
fairly sad,|@comicfire The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly.|
fairly sad,@keyshamackie it's fucking dreadful for live footy matches
fairly sad,|Eating an egg is grim, you are eating the material embodiment of a fart and an unborn chick|
fairly sad,you never call me when your sober
fairly sad,come on let's make em hate ðŸ˜˜make em pout they face ðŸ‘¿ðŸ˜©.
fairly sad,@Jacqueline_69 haha! She did well today. I can't get beyond her pout annoying me I'm afraid.
fairly sad,Hope was an instinct only the reasoning human mind could kill. An animal never knew despair.
fairly sad,Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. 
fairly sad,Dylon felt dejected. He has a dejected aunt!
fairly sad,|Two blankets, a hoody, and still no Eternal Sunshine to mope to.|
fairly sad,Once I have sent a pitch to a brand I close all tabs relevant to them instantly. Thats the kind of detachment I create for myself. #serious
fairly sad,Nature looks a lot greener on gloomy dayz
fairly sad,@JamesWickham Congratulations!  My top home-owning tip: try not to look at your mortgage balance too often.  The slowness will depress you.
fairly sad,The new lock sound is grim
fairly sad,Nothings #Working-you're feeling your life's on The Edge_Could go either way #lost all reason for #Living-JesusChristHealsSavesASK #fatloss
fairly sad,@khloe_speaks sad music
fairly sad,Think Val might be going this week. I'll have to take the rest of the week off work to mourn. I'm sure they'll understand. #GBBO
fairly sad,|3 weeks into the course and have had the kitchen sink thrown at me, I m still pulling knives and forks out of my ears|
fairly sad,Gaaaaaaaad! Should have stayed in London!
fairly sad,|@marksandspencer Where has your 50% grapefruit squash gone,not been able to get for weeks #unhappy|
fairly sad,I mourn the creativity lost.
fairly sad,|@Jinath_Hyder I can't have alcohol on it, sadly, but it only flares up under very specific circumstances so I just need to be more careful|
fairly sad,Add Donte Moncrief to my dismal situation #blessed.
fairly sad,Shoutout to the drunk man on the bus who pissed in a bottle and on the seats #grim
fairly sad,U know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself  at almost 3am...  #pensive
fairly sad,@TxDMV @ArkansasBBB i filled out the report on #baitswitch by @Carvana lets go get them fines levied. #badbusiness #honoryourdeal #unhappy
fairly sad,Itching something #serious RN haven't slept but considering taking like 6 Benadryl for a 20 min nap I am itching SO BADLY wow
fairly sad,@TVsCarlKinsella They're such garbage. Obviously I like that they suck but it's still grim to watch.
fairly sad,|For a team as big as Bayern and the they like to play football, their pitch is fucking dreadful. Certainly no Emirates pitch anyway.|
fairly sad,Angry shouting match between a #pessimist &amp; an #optimist:\n'You're a half empty-headed @%$!' \n'You're half full of @%$!'
fairly sad,*Still waits for Yang. Guess she really needs her sleep or something. Kittens feeling kinda dejected right now.* #Offline
fairly sad,|@OnesOwnGrief Just a shame his world was gloom from day one almost.Though it makes sense he'd have the whole part hydra,part s.h.i.e.l.d(c)|
fairly sad,How do u grieve someone who legally wasn't a person yet?
fairly sad,It's so gloomy outside. I wish it was as cold as it looked
fairly sad,@British_Airways #lost #bag #stillwaiting go home in2days. DM'd you my info and have rung 9times a day. What more can I do? #wheresmybag
fairly sad,|When you saw a t-shirt with the phrase 'My mind is a dangerous place to be' and you would like to buy, but in Italy don't sell it. #sadness|
fairly sad,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!ðŸ˜¢ðŸ’žðŸ˜©
fairly sad,Trying to take what's lost and broken and make it right
fairly sad,@LondonMidland #dobetter only two carriages on 14:49 Birmingham to Hereford no room to stand anymore Friday commute #unhappy
fairly sad,It's become a verb. 'I'm gonna VillaseÃ±or all those old contacts I don't need anymore.' #sadness @melissavcomedy #waitingforexplanation
fairly sad,@HillaryClinton @TheDemocrats It's ok 2 be disgusted or dishearten with presidential race but don't let that stop u from voting IT MATTERS
fairly sad,5am blues while riding a cab home:\n- my belly is much bigger than the rest of my body\n- but i couldnt be preggy\n- how to lose it in a day
